Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity,Cell Cycle Phase
97,183,65,17.453862,12.914547,0.490206128,4.190708505,1
98,390,81,23.143986,19.080436,0.624314924,4.312496855,3
99,223,70,18.332630,15.525640,0.363864836,4.274804928,1
100,183,70,21.474851,14.660075,0.335671069,4.535538674,1
101,449,75,25.880467,15.511048,0.693290156,4.426455234,3
102,291,80,24.235268,19.144405,0.722973500,4.457184002,3
103,189,55,16.889679,13.553723,0.397639788,4.217024679,1
104,220,61,16.479360,14.993739,0.475779648,4.243156280,1
105,229,71,20.204737,17.015109,0.620527871,4.152259563,2
106,281,64,17.642779,14.867339,0.469550257,4.252125364,1
107,308,70,21.320242,15.426333,0.531251835,4.522905865,2
108,372,77,22.869542,19.459497,0.585985301,4.627470307,3
109,186,62,18.411879,15.182251,0.452731303,4.358129826,1
110,325,71,19.089384,18.488754,0.619570453,4.429747439,2
111,341,75,23.247045,19.002847,0.677889747,4.517324253,3
112,238,60,16.616145,13.483329,0.402984607,3.978654447,1
113,344,60,20.887784,15.109327,0.446009430,4.340354003,2
114,389,84,25.528194,17.700968,0.625615739,4.525475416,3
115,355,75,21.038633,15.565364,0.499260845,4.383652946,2
116,290,60,18.789694,15.294840,0.319403193,4.402873220,2
117,178,46,14.047971,13.434816,0.482525592,4.049523965,1
118,237,58,17.317657,15.605066,0.501461579,4.218895139,1
119,374,80,25.150597,17.267218,0.521879263,4.654365689,3
120,286,76,21.033521,18.145709,0.578998173,4.316680622,2
121,320,66,20.775573,15.942020,0.296549147,4.707767637,1
122,214,64,16.600222,17.277649,0.466226408,4.034473755,1
123,330,67,20.331186,14.769715,0.470246324,4.303209628,2
124,354,86,25.691007,16.680084,0.489547444,4.396484918,3
125,279,84,25.915699,17.337226,0.421913133,4.251542794,2
126,181,70,22.749157,13.612753,0.494903780,4.409816886,1
127,188,57,17.453867,15.507103,0.516332730,4.227373202,1
128,232,57,16.653284,11.943470,0.343268379,4.033781412,1
129,477,92,28.275133,17.282866,0.628586619,4.596429480,3
130,359,86,23.671937,21.731087,0.668180333,4.432054998,3
131,409,81,21.650224,17.802556,0.551700332,4.461043103,3
132,417,76,23.787151,16.707021,0.645745124,4.647102666,3
133,453,77,20.840636,17.735926,0.871704077,4.218902572,3
134,287,73,23.792816,17.923944,0.770672284,4.058363960,3
135,279,68,21.077480,15.260175,0.525704633,4.205797488,2
136,338,82,24.561249,19.130272,0.837622307,4.408101404,3
137,307,67,20.380670,16.522014,0.378160340,4.408328127,2
138,332,77,20.347310,20.057603,0.664532999,4.660928878,3
139,227,68,18.724237,17.736898,0.465774901,4.218255274,2
140,371,76,21.672705,17.678168,0.627365806,4.137401451,3
141,339,78,27.000211,16.359801,0.506244178,4.666267352,3
142,348,82,25.373874,17.672566,0.497898083,4.526324933,3
143,444,86,25.353890,22.000000,0.498951656,4.496965535,3
144,438,79,25.890227,19.406461,0.594493485,4.395678779,3
145,465,86,25.168904,17.782624,0.782686688,4.605128175,3
146,299,74,22.358177,18.512707,0.719096326,4.634012881,3
147,386,96,29.072314,19.307075,0.775761917,4.497313782,3
148,470,87,24.245277,20.158365,0.583734668,4.582613827,3
149,342,91,26.525686,17.119605,0.591423682,4.499833071,3
150,395,81,26.152305,17.029124,0.688524720,4.335282108,3
151,422,89,23.911686,20.522074,0.657734191,4.472288970,3
152,348,77,20.504541,20.282043,0.725560666,4.196872707,3
153,360,83,28.013131,17.033614,0.616115514,4.372543885,3
154,345,65,20.697374,16.550084,0.503275624,4.290380979,3
155,354,72,22.427516,16.237647,0.732609796,4.493269377,3
156,357,86,27.663623,18.583703,0.732291616,4.137954408,3
157,271,76,23.019730,18.797296,0.605827246,4.572605236,3
158,409,72,20.426699,17.781299,0.726178792,4.575028910,3
159,311,58,17.171160,14.368606,0.116454179,4.449961397,1
160,181,72,20.641809,16.729709,0.431915819,4.033460196,1
161,349,79,21.307225,19.869396,0.445414870,4.579402856,3
162,483,78,24.747900,14.906510,0.588026691,4.509053369,3
163,271,60,14.080648,14.538070,0.526684704,4.420716073,1
164,214,74,20.195211,17.396397,0.551787648,4.314079084,1
165,197,57,15.105500,16.375987,0.381822651,4.216342635,1
166,213,61,18.465499,13.569397,0.427535001,4.251987134,1
167,199,73,19.573240,17.621692,0.353863274,4.380480171,1
168,140,60,16.477612,14.109824,0.505994871,4.244503425,1
169,412,74,21.932492,17.005520,0.545482214,4.476162116,3
170,389,82,22.327192,19.650439,0.780882190,4.716512633,3
171,389,91,25.546575,19.175603,0.608300361,4.680513948,3
172,479,84,24.081019,18.718833,0.725799478,4.499643621,3
173,374,87,23.554298,21.014371,0.698118698,4.509381428,3
174,236,60,18.583245,14.911010,0.285754186,4.215973677,1
175,239,59,15.637124,16.283393,0.502415824,4.256455673,1
176,324,60,16.873503,14.954770,0.533639341,4.404883726,2
177,188,61,18.266892,14.364819,0.302454325,4.262835262,1
178,360,73,22.397617,17.702007,0.585383329,4.250126863,2
179,237,81,27.045926,14.980833,0.526918498,4.313149408,2
180,351,66,19.702807,16.602890,0.527026352,4.482250857,3
181,201,63,18.431758,14.184101,0.522530355,4.169796628,1
182,174,64,19.313746,14.432743,0.464963389,4.262900672,1
183,239,60,17.229407,16.884554,0.522771774,4.282724254,1
184,184,63,16.672277,14.656996,0.469281724,4.103450080,1
185,230,51,13.974436,14.334556,0.135629619,4.122275268,1
186,349,82,23.251917,17.569437,0.614689221,4.710349568,3
187,182,56,20.507800,12.730086,0.330392661,4.418275057,1
188,409,71,21.116964,17.969600,0.660177647,4.737608590,3
189,227,65,19.254040,14.647512,0.329572594,4.212304029,1
190,267,57,16.113895,14.371217,0.455523696,4.198268233,1
191,379,79,22.399569,16.920495,0.728480320,4.346685987,3
192,391,79,21.063955,18.652843,0.698400646,4.606702594,3
193,215,59,16.584475,14.151626,0.312080273,4.122962596,1
194,306,64,19.968150,15.492616,0.588267490,4.294792128,2
195,224,59,17.471013,13.501942,0.510989399,4.329981616,1
196,236,65,19.054616,14.956709,0.518042147,4.435281103,1
197,248,60,19.746903,14.526740,0.295886503,4.337780106,1
198,305,63,19.740867,15.262768,0.425620553,4.447676533,1
199,181,60,16.803728,14.633484,0.309288384,4.240001940,1
200,339,84,27.687021,15.972682,0.539560486,4.552656804,3
201,401,77,22.576368,16.546656,0.608990218,4.404296657,3
202,356,88,25.751290,19.140921,0.794465597,4.626100664,3
203,262,57,16.966615,14.633362,0.218686015,4.257927573,1
204,323,69,22.107717,14.571859,0.438477670,4.314584976,2
205,388,77,21.342525,18.275485,0.494266590,4.198284550,3
206,175,55,16.880165,13.015692,0.265024213,4.168148647,1
207,271,65,18.899024,14.634434,0.503345188,4.365152048,1
208,360,93,26.342788,21.029635,0.752658775,4.747894723,3
209,422,70,21.492571,16.418321,0.674556817,4.266275923,3
210,266,65,16.669689,15.746467,0.271362401,4.155826668,1
211,239,72,18.580565,17.386613,0.562648385,4.106008603,1
212,349,82,23.959543,18.224341,0.798034427,4.341902671,3
213,406,88,25.866481,17.863383,0.790375346,4.400383842,3
214,245,55,15.199834,15.571088,0.439723505,4.173764675,1
215,368,82,20.683039,20.905151,0.555889331,4.407420365,3
216,255,72,19.440491,17.123392,0.385664299,4.083955660,1
217,342,62,20.313532,14.701630,0.686306561,4.434860160,2
218,263,52,15.118045,14.324317,0.296435960,4.137082026,1
219,349,83,25.665807,18.671346,0.749160476,4.652927897,3
220,384,91,25.237752,20.930782,0.778898608,4.693417162,3
221,433,72,19.895259,19.609375,0.703421733,4.507590012,3
222,359,83,24.957216,19.543961,0.515243583,4.530534535,3
223,190,64,18.785245,14.539795,0.347505965,4.120008545,1
224,305,61,18.707555,15.338504,0.529924287,4.412669215,2
225,251,66,16.351995,18.818842,0.316489685,4.117283680,1
226,192,68,19.655262,17.521983,0.377361822,4.242460235,1
227,230,75,20.863469,16.251945,0.320535257,4.420967567,1
228,404,76,22.483800,18.305132,0.592498747,4.565464808,3
229,140,68,19.852406,15.268034,0.538633138,4.202296635,1
230,277,65,18.775594,15.403202,0.773583007,4.198029975,1
231,385,68,19.309484,15.038504,0.392472762,4.429376120,2
232,261,59,15.292880,16.408203,0.551699247,4.207349528,1
233,258,61,18.734287,15.898758,0.300530534,4.197299090,1
234,334,77,22.113455,16.451778,0.582647915,4.157652873,2
235,357,84,24.296817,19.984592,0.596784933,4.667612693,3
236,231,66,19.112091,13.254164,0.485351680,4.227996230,1
237,221,61,17.273365,15.517493,0.413469543,4.067384072,1
238,283,53,17.813793,13.781356,0.498753071,3.979052323,1
239,305,68,21.379943,16.930599,0.451793882,4.340435049,2
240,315,62,17.607830,16.376136,0.578773724,4.131638659,2
241,341,70,24.252833,14.344060,0.587391030,4.199326581,2
242,460,82,25.536819,16.913289,0.704093044,4.589872487,3
243,324,58,19.211558,11.000000,0.388078026,4.124245092,1
244,306,64,19.632600,14.972624,0.699974604,4.437654459,2
245,336,75,22.417879,18.500961,0.433915534,4.461384612,2
246,358,64,20.595857,13.192331,0.553888937,4.128058872,2
247,228,57,17.197390,12.918312,0.297269820,4.110203222,1
248,284,67,19.418171,14.338927,0.560126548,4.042151877,1
249,371,83,24.543547,19.221540,0.605246748,4.612162139,3
250,416,78,20.361052,18.503762,0.621179947,4.207363566,2
251,185,54,13.536010,16.194642,0.537584872,4.226763332,1
252,297,62,19.423736,14.081788,0.500468628,4.058372088,1
253,257,57,16.379964,14.834061,0.684456069,4.217283156,2
254,322,81,25.990897,18.201916,0.733981982,4.485203851,3
255,260,79,22.758258,16.513890,0.635184186,3.948862537,2
256,209,67,22.345714,14.284943,0.423109576,4.305849092,1
257,424,78,22.516003,20.262565,0.767252688,4.569389131,3
258,295,63,21.629814,13.549986,0.489307577,4.481949556,2
259,444,80,22.554875,18.717212,0.553756977,4.567812957,3
260,278,76,20.708140,16.754933,0.442981088,4.060598665,1
261,175,62,17.122580,16.031952,0.468791346,4.427098500,1
262,227,70,20.421957,16.861091,0.511433007,4.543618962,2
263,170,57,18.933579,13.393241,0.606988157,4.255112247,1
264,275,68,22.738493,12.194322,0.519338086,4.282923585,1
265,321,79,22.032960,15.560493,0.705208882,4.184561859,2
266,294,57,15.627730,14.992440,0.576184489,4.156170724,1
267,286,74,23.451693,15.688476,0.548919185,4.430228002,2
268,194,51,15.316903,12.874441,0.290221532,3.996328558,1
269,319,65,21.113600,15.360050,0.438017915,4.230859487,2
270,318,89,25.643032,15.952622,0.681904743,4.413472461,3
271,222,72,21.405932,16.099374,0.465175660,4.400977684,2
272,185,70,18.852555,15.544836,0.564041670,4.140703742,1
273,222,59,14.047975,15.732334,0.411025077,4.105294376,1
274,210,68,20.033771,14.884218,0.502535391,4.308332109,1
275,187,69,19.839426,15.030466,0.640248685,4.282227085,1
276,198,61,17.187717,15.135405,0.291247635,4.067863942,1
277,227,65,18.404150,16.563946,0.375962890,4.308513842,1
278,296,64,21.539843,13.498408,0.557299255,4.277026528,2
279,151,50,17.114218,12.371589,0.515713548,4.188890048,1
280,202,64,19.509908,14.167163,0.389066041,4.172006182,1
281,159,59,17.909081,14.218670,0.744915719,4.192308911,1
282,272,60,17.687936,15.354679,0.323847244,4.422179649,1
283,322,78,23.377951,16.143243,0.549983605,4.436246738,2
284,184,65,18.362966,13.676483,0.338009277,4.135709147,1
285,297,79,23.210905,14.920829,0.327445243,4.093967370,1
286,165,64,17.366063,14.207512,0.612499480,4.088265267,1
287,365,71,20.649783,17.298243,0.380741424,4.348532984,2
288,186,72,21.872292,17.132750,0.363728634,4.176404142,2
289,354,75,23.295358,16.667001,0.569135716,4.542911854,3
290,226,63,17.540640,15.640080,0.403029763,4.332000131,1
291,346,70,23.618873,14.409287,0.651419463,4.591766879,2
292,229,67,17.285592,15.617168,0.477199106,4.132991572,1
293,337,85,23.681866,19.837748,0.894878168,4.428228266,3
294,391,69,20.360380,16.671699,0.547475216,4.429535612,3
295,381,90,26.938696,18.875962,0.900000000,4.465920088,3
296,247,65,21.013133,14.469798,0.512978363,4.431779458,1
297,302,72,22.059043,15.947831,0.453723153,4.598255289,2
298,467,74,22.830622,17.868658,0.767685306,4.471157319,3
299,272,69,21.572612,15.600829,0.559687453,4.066552839,2
300,297,72,19.923452,15.109620,0.452814496,4.369167716,2
301,310,80,23.364602,19.763279,0.716790364,4.486873967,3
302,306,70,20.787765,13.320307,0.471263845,4.106553440,2
303,265,66,16.423532,16.126829,0.689351224,4.139000060,1
304,398,68,23.455592,16.430543,0.618848244,4.444712248,3
305,252,56,17.356537,15.642942,0.373885005,4.609775457,1
306,333,87,25.621973,21.973548,0.570833943,4.756090085,3
307,284,78,18.150789,18.121998,0.616018379,4.135796053,1
308,253,75,20.341397,19.311855,0.469173858,4.276624324,2
309,403,86,24.890519,17.006884,0.701658287,4.589239557,3
310,320,60,18.368743,16.642626,0.481734707,4.531474018,2
311,408,80,21.549589,20.235291,0.764827834,4.530706360,3
312,290,66,22.419132,16.525560,0.630432441,4.367614916,2
313,354,90,27.490233,20.524064,0.691500403,4.482355299,3
314,334,68,22.215979,15.131362,0.622781516,4.520276559,2
315,222,65,18.927130,16.011854,0.373741139,4.151271913,1
316,399,85,24.986974,18.168932,0.529935365,4.347401846,3
317,249,77,21.475350,16.058804,0.483754864,4.363470800,2
318,394,77,23.319969,15.842605,0.736346225,4.659138470,3
319,279,64,18.953196,13.175415,0.415055526,4.288232838,1
320,355,83,23.854260,18.785391,0.819842232,4.640733432,3
321,400,74,21.641853,16.438464,0.669895988,4.645821674,3
322,408,65,20.546421,15.861354,0.803187221,4.495150620,3
323,424,87,24.593483,22.000000,0.817500049,4.548537625,3
324,240,49,17.794696,12.985685,0.522027433,4.255731477,1
325,203,56,16.342516,16.373246,0.415153929,4.413362891,1
326,256,72,23.240899,15.617168,0.433550437,4.291532718,2
327,253,64,20.236335,12.778313,0.388014586,4.221851704,1
328,265,60,18.239694,14.188275,0.297691713,3.982787795,1
329,231,64,19.843450,14.471123,0.675607470,4.210057654,1
330,323,68,18.961826,16.913362,0.322949346,4.447892230,2
331,391,80,24.356060,16.161990,0.581151647,4.719299488,3
332,205,67,18.842161,15.570795,0.634993291,4.364345615,1
333,358,86,28.102487,18.037522,0.584243689,4.329165492,3
334,215,71,19.530803,16.278460,0.546617676,4.239886970,1
335,325,67,19.820579,17.244036,0.253829759,4.123566136,1
336,182,72,21.154724,18.688673,0.491115143,4.385407490,2
337,209,62,18.570620,13.325914,0.549143633,3.970561305,1
338,355,86,27.425033,19.418952,0.450742494,4.160864475,3
339,209,56,17.621986,15.042344,0.494095562,4.042421207,1
340,317,75,20.241940,16.444940,0.479398717,4.337482861,2
341,230,63,18.426386,17.562402,0.722414854,4.333265642,2
342,146,62,18.521085,13.250904,0.659313682,4.524408460,1
343,250,69,17.764175,16.598514,0.419662247,4.228236378,1
344,334,80,25.475061,14.144756,0.488885934,4.242492218,2
345,355,86,25.385364,16.329619,0.669622480,4.821579362,3
346,286,87,24.838549,19.522165,0.625725185,4.345666757,3
347,234,63,19.105082,14.778728,0.676428170,4.101200659,1
348,329,71,22.536658,14.531930,0.692704399,4.170444602,2
349,291,68,19.513988,18.299876,0.291824194,4.264998234,2
350,345,81,24.255885,17.763203,0.703481352,4.070807952,2
351,241,64,20.212573,16.967007,0.560408706,4.538847994,2
352,195,58,15.038740,12.705693,0.530635738,4.243714449,1
353,280,56,18.136300,13.642537,0.529097097,4.130091601,1
354,252,75,21.255900,18.498295,0.555786970,4.519175709,2
355,212,73,23.442347,17.549462,0.441659768,4.111814685,1
356,247,67,17.488977,15.653801,0.455534534,4.276715904,1
357,243,60,16.553112,13.921232,0.484143955,4.080662496,1
358,260,55,17.912233,13.906007,0.224602740,4.073884555,1
359,381,76,22.982739,16.726942,0.775986602,4.518105904,3
360,253,60,20.072905,12.756046,0.497734783,3.984838216,1
361,431,80,25.589812,19.263585,0.700029340,4.697816718,3
362,291,74,21.099433,19.652928,0.662920490,4.494995596,2
363,492,77,25.085159,16.590521,0.900000000,4.300232851,3
364,368,84,21.745035,19.043538,0.710443895,4.515891164,3
365,230,84,23.869410,15.363022,0.710838029,4.607677819,2
366,296,70,18.557155,17.091889,0.544129457,4.130829580,2
367,263,79,24.028219,18.047745,0.519052887,4.364701367,2
368,357,92,31.126115,16.702085,0.686087135,4.638806020,3
369,349,72,20.943068,20.107257,0.758320329,4.565790706,3
370,328,69,21.599139,16.092904,0.398558512,4.352631261,2
371,384,82,24.145682,17.658947,0.777022581,4.490752922,3
372,248,65,20.016346,13.650316,0.382016467,4.339859286,1
373,277,68,19.490486,14.377448,0.516856203,4.186526854,1
374,308,71,20.183189,18.205301,0.249325987,4.148711271,1
375,287,74,21.782141,16.047837,0.671671817,4.488018863,2
376,258,80,22.149485,17.611435,0.588927397,4.363900922,2
377,280,71,20.229935,17.600584,0.608387043,4.470837678,2
378,314,67,21.153561,17.507724,0.767166768,4.610916986,3
379,330,71,20.816824,15.036841,0.790985253,4.394314525,2
380,423,68,19.779649,16.004815,0.713791723,4.190002773,2
381,382,89,26.231416,18.848625,0.579550215,4.636114486,3
382,327,75,22.418053,17.358708,0.553572591,4.649053352,3
383,292,60,18.820713,16.008192,0.713344679,4.457277473,2
384,259,68,22.334762,15.852817,0.489143648,4.248136020,2
385,309,75,20.201429,18.310567,0.542662127,4.234527752,2
386,447,78,22.307805,15.475879,0.627313735,4.311012626,3
387,241,71,20.311841,18.810282,0.645833378,4.293224026,2
388,297,78,20.495674,18.844598,0.532986811,4.184503922,2
389,353,72,20.523728,17.758188,0.555637122,4.203116217,2
390,252,62,19.668274,15.191653,0.586612936,4.384242881,2
391,334,86,23.993808,18.942989,0.687946527,4.191048767,3
392,469,90,27.642723,19.070566,0.753918447,4.408413073,3
393,183,62,18.243521,12.998430,0.484372195,4.173907724,1
394,389,79,22.943014,19.549322,0.550925483,4.462920664,3
395,339,69,20.841418,17.005028,0.607801813,4.055004988,2
396,310,78,23.126199,17.458882,0.694184278,4.331188897,2
397,282,65,20.085088,15.354345,0.490239135,4.335239131,2
398,231,54,14.362732,15.599107,0.439520253,4.278009742,1
399,209,65,19.964722,14.783695,0.638520432,4.037204700,1
400,324,71,22.190487,16.936013,0.627119449,4.609597896,3
401,333,65,17.974136,15.991711,0.695179031,4.420065563,2
402,334,75,22.209548,17.542008,0.704402934,4.225000933,2
403,334,71,22.574249,17.437087,0.693719024,4.294870618,2
404,444,82,23.998153,17.322102,0.683933556,4.439481331,3
405,267,57,18.623466,15.757217,0.423586839,4.353446164,1
406,322,76,23.908160,17.538436,0.575443290,4.586795598,3
407,391,85,24.285866,18.292315,0.588789672,4.472956818,3
408,253,66,19.925677,14.887885,0.232748859,4.159359137,1
409,445,86,26.612694,18.879752,0.585781958,4.517982610,3
410,220,53,15.532956,15.649467,0.416717296,4.324569636,1
411,253,82,28.657172,15.279925,0.581634106,4.416908165,2
412,466,79,23.849074,18.439168,0.880022497,4.389257071,3
413,363,77,20.842913,18.641343,0.732035931,4.525664794,3
414,423,86,24.779016,17.813694,0.814245831,4.402467058,3
415,370,88,25.759046,21.122483,0.430872261,4.473083547,3
416,384,75,20.145673,20.693529,0.381930681,4.405435721,2
417,251,54,16.869713,14.368555,0.219488916,4.234062577,1
418,245,73,21.182427,16.417976,0.662979893,4.184093152,2
419,320,67,20.365021,15.394547,0.541299835,4.474918168,2
420,422,78,23.370241,20.959673,0.682948385,4.475424067,3
421,309,81,24.876968,17.836080,0.710940427,4.404150134,3
422,349,85,24.678957,17.850937,0.885111676,4.403669198,3
423,327,76,22.929736,16.853530,0.818560096,4.561178520,3
424,316,70,18.722826,18.704370,0.702848177,4.355541029,2
425,412,77,23.596915,17.879718,0.625791508,4.451575298,3
426,261,66,17.343406,14.400290,0.351049535,4.025065428,1
427,328,79,22.819652,15.805154,0.710292063,4.378876365,2
428,379,84,23.897271,17.355273,0.688523561,4.531497774,3
429,376,76,21.188888,18.428558,0.251058351,4.298861986,2
430,346,80,21.888512,16.515920,0.499235260,4.256030459,2
431,436,87,27.007887,18.216969,0.621208373,4.577657185,3
432,374,74,23.942831,17.187278,0.584144307,4.466063362,3
433,410,83,25.928667,16.968738,0.478982707,4.555101134,3
434,231,54,15.331144,12.315163,0.608271530,4.191866965,1
435,302,66,21.868434,14.682601,0.500971963,4.183802798,2
436,200,53,14.386901,14.354321,0.341802222,4.065792063,1
437,379,81,22.074961,21.419154,0.759002816,4.657031920,3
438,268,62,19.531150,13.574090,0.344956908,4.598978901,1
439,250,68,17.570797,16.163956,0.310595616,4.089311988,1
440,314,62,15.796996,16.635122,0.529983552,4.452386870,2
441,397,79,24.201168,18.664750,0.553211410,4.385914039,3
442,313,85,25.812984,19.924134,0.747539495,4.415827533,3
443,358,86,26.559666,19.042605,0.871280128,4.364259128,3
444,177,51,15.165516,14.782636,0.383072341,4.153333792,1
445,390,83,23.347100,19.663785,0.740555277,4.316356162,3
446,350,83,27.524763,18.152659,0.624613522,4.443084237,3
447,444,84,28.874516,15.432325,0.652302774,4.484543347,3
448,441,85,26.869110,17.807450,0.900000000,4.504587912,3
449,394,80,22.284124,20.525013,0.747829987,4.450307562,3
450,335,80,24.603771,16.130179,0.680348694,4.427591242,3
451,353,75,22.652570,16.416144,0.471941384,4.321043924,2
452,250,64,16.863651,13.645809,0.439076934,4.396644287,1
453,341,72,18.920446,18.712890,0.456977378,4.259825647,2
454,311,87,25.843864,18.114193,0.723903516,4.384719919,3
455,329,72,20.237010,18.017922,0.257368532,4.407100497,2
456,340,82,24.407582,18.999681,0.598934138,4.483266289,3
457,400,86,26.821582,17.457680,0.824860966,4.317408927,3
458,294,80,24.165087,19.355607,0.900000000,4.506909938,3
459,431,75,24.094662,18.357341,0.780871958,4.652985020,3
460,307,67,20.965569,14.995645,0.371371033,4.351309995,2
461,200,61,17.725263,14.508566,0.421935497,4.424982833,1
462,474,86,26.861427,19.748133,0.599864525,4.458919081,3
463,401,80,23.845759,18.906717,0.713277692,4.523498575,3
